cycles	cost		deployment limit	cost
4	62126		0.17	62126
4	53831		0.23	53831
5	95340		0.02	95340
3	34599		0.48	34599
2	35826		0.43	35826
2	34146		0.7	34146
2	40236		0.83	40236
3	42959		0.27	42959
3	37346		0.38	37346
6	62303		0.3	62303
2	26522		0.75	26522
2	35952		0.32	35952
2	33285		0.89	33285
3	42348		0.43	42348
3	40181		0.31	40181
7	111789		0.07	111789
5	91896		0.07	91896
5	58273		0.22	58273
4	71778		0.19	71778
2	35826		0.96	35826
2	40950		0.1	40950
10	168870		0.01	168870
4	53322		0.1	53322
2	29272		0.76	29272
3	51891		0.44	51891
2	32235		0.96	32235
2	33285		0.96	33285
3	34859		0.61	34859
2	28194		0.77	28194
2	27578		0.79	27578
2	34272		0.76	34272
4	65982		0.19	65982
3	42961		0.76	42961
2	27050		0.93	27050
2	32718		0.81	32718
2	38640		0.81	38640
2	34881		0.76	34881
2	36162		0.73	36162
2	30680		0.66	30680
2	30592		0.71	30592
7	133938		0.02	133938
2	37065		0.44	37065
4	49819		0.51	49819
4	63294		0.46	63294
3	41580		0.5	41580
2	39291		0.6	39291
3	41072		0.3	41072
3	37670		0.59	37670
2	40572		0.99	40572
2	39291		0.58	39291
3	38757		0.6	38757
2	32382		0.81	32382
2	41517		0.88	41517
3	47519		0.44	47519
2	30746		0.95	30746
3	27490		0.84	27490
2	40509		0.63	40509
3	44688		0.37	44688
3	52983		0.25	52983
2	26808		0.99	26808
2	33033		0.9	33033
4	67557		0.1	67557
2	37275		0.9	37275
5	74739		0.24	74739
4	61258		0.47	61258
2	33348		0.79	33348
2	38850		0.42	38850
2	38136		0.79	38136
2	38976		0.99	38976
6	91538		0.18	91538
4	46521		0.33	46521
2	31710		0.53	31710
2	33453		0.44	33453
3	31846		0.73	31846
2	32760		0.91	32760
2	36981		0.66	36981
3	48237		0.48	48237
2	21483		0.98	21483
2	39375		0.85	39375
3	45021		0.18	45021
2	41391		0.65	41391
4	43381		0.3	43381
6	108297		0.04	108297
2	26676		0.93	26676
4	59510		0.29	59510
3	29756		0.8	29756
3	39216		0.61	39216
5	98973		0.04	98973
3	46028		0.41	46028
2	39774		0.39	39774
5	80115		0.18	80115
3	42029		0.89	42029
2	32319		0.49	32319
2	41454		0.6	41454
5	85006		0.04	85006
7	101380		0.01	101380
4	66003		0.16	66003
2	33642		0.72	33642
2	32445		0.49	32445
3	43281		0.47	43281
4	41433		0.69	41433
2	36036		0.8	36036
2	32466		0.67	32466
3	38888		0.65	38888
6	92784		0.1	92784
2	38346		0.51	38346
2	33789		0.48	33789
9	105271		0.21	105271
5	94374		0.04	94374
2	34062		0.67	34062
2	36267		0.83	36267
2	29052		0.77	29052
10	186312		0	186312
2	38094		0.96	38094
3	44966		0.63	44966
2	36939		0.43	36939
2	31416		0.89	31416
2	35490		0.85	35490
6	100464		0.11	100464
2	39480		0.42	39480
2	31899		0.62	31899
3	53298		0.19	53298
2	35280		0.94	35280
6	100872		0.03	100872
2	26808		0.97	26808
3	35356		0.55	35356
5	78166		0.06	78166
5	79671		0.08	79671
4	64911		0.28	64911
2	35133		0.38	35133
2	37464		0.31	37464
2	38115		0.52	38115
2	37779		0.47	37779
3	41713		0.22	41713
2	35070		0.95	35070
3	47492		0.12	47492
4	49565		0.51	49565
3	55860		0.27	55860
5	74592		0.27	74592
2	26720		0.85	26720
2	39480		0.86	39480
4	67767		0.18	67767
3	54264		0.12	54264
3	49539		0.2	49539
2	39753		0.94	39753
4	58653		0.34	58653
2	29052		0.74	29052
3	40543		0.48	40543
3	60606		0.09	60606
3	46848		0.46	46848
4	45103		0.59	45103
2	34713		0.92	34713
2	37464		0.58	37464
4	63336		0.21	63336
3	46014		0.68	46014
3	49686		0.38	49686
2	33579		0.58	33579
2	35343		0.79	35343
2	37821		0.21	37821
2	34671		0.42	34671
4	76335		0.06	76335
3	42878		0.44	42878
2	30975		0.62	30975
2	35742		0.44	35742
